Values,Business,South Africa,Education,,Human Rights,,Humanitarian Assistance,,Poverty & Economic Development,,Chronic Diseases & Well-being,,Africa,Africa is the most underdeveloped continent and requires all possible assistance.,India,Indian society has strong moral and social values as well as significant intellectual wealth.,Latin America,,Health,,Renewable Energy,,"Media, Entertainment & Information",
Europe & Central Asia,Government,Italy,Women’s Empowerment,,Human Rights,,Climate Change,,Migration,,Future of Government,,Middle East & North Africa,,Africa,,South-East Asia,,Renewable Energy,,Banking & Capital Markets,,Health,
Next Generation,Government,Sweden,Education,"Education is the key enabler for the next generation - access, quality and relevant content.",Women’s Empowerment,Focusing on women has proved to be beneficial to the whole family and is the most secure way to reach the next generation.,Poverty & Economic Development,Fighting poverty through econmic develpoment for and with the next generation is key.,Urbanization,Young people are looking for there future in growing cities - analysis of consequences and how to mitigate the negatives must be discussed.,Role of Business,The role of busness is key to the next genration. This is not about charity -  this is about creating new markets and invest in future work force. A win win situation that must be much more explored.,Africa,,India,,South-East Asia,,Telecom,,Public & Institutional Investors,,Consumer,
Energy Security,Business,India,Geopolitical Risk,,International Monetary System,,Food Security,,Climate Change,,Role of Business,,Middle East & North Africa,,Latin America,,North America,,Automotive,,Renewable Energy,,Logistics & Supply Chain,
Benchmarking Progress,International Organization,France,Chronic Diseases & Well-being,"Health is a major driver of well-being. Increasingling, helath outcomes will be influenced by progress in treating and preventing chronic diseases",Employment & Social Protection,"Having a job is essential to ensure economic well-being. But the way income is distributed, and hence the role of social protection systems, is also key",Values,Objective measures of well-being and progress need to be complemented by subective indicators that inform of individals' assessments of the quality of their life. Values are essential in the determination of life satisfaction and how to judge  progress,Women’s Empowerment,Any assessment of societal progress needs to take into account the gender dimension,Ecosystems & Biodiversity,Well-being today is not sufficient; what also matters is whether we will be able to ensure the well-being of children. Sustainabilty of the environment has to be part of the progress agenda,Europe & Central Asia,Europe is discussing its Europe 2020 Agenda.,Japan,"With a rapidly ageing society, Japan will have to ""redefine"" what it wishes to achieve for its society using other metrics than just economic metrics",North America,"The very large increase in income distribution, the impressive rise in obesity and the lack of progress in addressing climate change has strong interlinkages with issues around progress and well-being",Health,,Consumer,,,
Next Generation,Business,Germany,Education,Access to adequate education is a pre-condition for a the next generation of responsible global citizens.,Urbanization,The trend in urbanisation will determine the opportunities for development of a next generation,Values,To a large extent the next generation will have to make some key choices and a number of them will be based on values.,Poverty & Economic Development,This will shape the opportunities for the next generation,Informed Societies,A pre-requisite for sound development of societies in particular for the next generation of citizens and decision makers.,China,The largest next generation,Africa,The most neglected next generation,Europe & Central Asia,The hope and dreams of the next generation in this region can create the momentum needed to capitalize on similar trends in other parts of the world.,"Media, Entertainment & Information",In the information socity the next generation is either a driver or a recepient,Consumer,The next generation will shape the consumer life-style of tomorrow and v.v.,Health,
Next Generation,NGO,United Kingdom of Great Britain and Northern Ireland,Innovation,,Education,,Urbanization,,Fragile States,,Informed Societies,,China,,India,,North America,,"Media, Entertainment & Information",,Telecom,,,
Social Innovation,NGO,United Kingdom of Great Britain and Northern Ireland,Poverty & Economic Development,,Role of Business,,Chronic Diseases & Well-being,,Women’s Empowerment,,Innovation,,Africa,,Middle East & North Africa,,India,,Health,,Logistics & Supply Chain,,Automotive,
"Aviation, Travel & Tourism",Government,South Africa,Climate Change,,Trade,,Systemic Financial Risk,,Role of Business,,Geopolitical Risk,,China,,Europe & Central Asia,,North America,,Public & Institutional Investors,,Renewable Energy,,"Media, Entertainment & Information",
Fiscal Crises,Business,People's Republic of China,Future of Government,,Ageing,,Employment & Social Protection,,Education,,Poverty & Economic Development,,North America,,Europe & Central Asia,,China,,Banking & Capital Markets,,Public & Institutional Investors,,Real Estate,
Social Innovation,Business,United States of America,Employment & Social Protection,,Role of Business,,Innovation,,Poverty & Economic Development,,Competitiveness,,North America,,Latin America,,,,Banking & Capital Markets,,Public & Institutional Investors,,Consumer,
Social Innovation,Other,Mexico,Education,,Poverty & Economic Development,,Food Security,,Water Security,,Chronic Diseases & Well-being,,Latin America,,South-East Asia,,Africa,,Health,,Logistics & Supply Chain,,Consumer,
Social Innovation,NGO,Mexico,Chronic Diseases & Well-being,Impact on promoting and assuring Well-Being and health through innovative methods is a must for being a Social Innovation Council.,Employment & Social Protection,As well fair job creation and social development policies are urgently needed to achieve equality and justice in many countries.,Values,Values are the cause of everyones actions if we want to innovate socialy speaking we have to understand and improve values in society.,Women’s Empowerment,,,,Latin America,,North America,,South-East Asia,,Health,,"Media, Entertainment & Information",,Consumer,
Consumer,Academia,United States of America,Design,"As the world shifts to a new economy and values-driven consumption emerges/re-emerges as a major trend, effective design and designing for sustainability will emerge as the key differentiator for future success",Emerging Technologies,"As consumption criteria changed (based on resource limitation and in particular, environmental sustainability, ability to use emerging technologies to decrease the footprint of consumption will be critical.",Next Generation,"These represent the next generation of consumers and in fact, also an opportunity to do ""consumption"" right--in a way that meets the laws of thermodynamics for and supports limitless eco-systems health/renewal",Urbanization,Huge implications for products and transportation of goods.,Values,"The resent in consumption that is currently afoot has much to do with a major reset of values in the US. this is likely to continue as the economy recovers very slowly and people begin to get less annoyed with government and more annoyed with the entire system. Outside of basic services, the need for values based affiliations and a need to see consumer-facing companies as more than providers of goods will prevail. Further, there are huge implications in the rise of ""resale"" and ""nosale"" as acceptable and even admired attitudes.",China,How China manages the shifts they are feeling and the increased expectations of their citizens will have a major impact not just on the potential economy represented to consumer industry but also to the supply chain.,North America,Will be a shift to sustainable economy thinking. How will this effect consumption.,Africa,"Getting it ""right"" for the bottom of the pyramid, particularly here, represents an opportunity to explore local for local from many view points.",Logistics & Supply Chain,,"Media, Entertainment & Information",,Banking & Capital Markets,
Health,Business,United States of America,Chronic Diseases & Well-being,,Intellectual Property System,,Ageing,,Poverty & Economic Development,,Emerging Technologies,,Africa,,China,,India,,Logistics & Supply Chain,,Telecom,,Insurance & Asset Management,
Future of Government,Business,United Kingdom of Great Britain and Northern Ireland,Trade,"helping drive trade within and between nations is  a key role of govt; it is key to helping all other  socilal, poverty and related isssues",Competitiveness,"govts must address north/south, digital and other  divides",Geopolitical Risk,govts must use novel ways eg new ICT and social  medai solutins to enhance comm and ease tensions,Innovation,"the planet will only survive long term through   innovative technology eg water, energy etc. Govts  must focus policy here",Climate Change,worlds biggest problem; nation and international  govt institutions are inadequate,Middle East & North Africa,the regions with less access to technology and  new policy ideas,Africa,,Latin America,,Renewable Energy,,Telecom,,Health,
Next Generation,International Organization,Switzerland,Education,,Human Rights,,Urbanization,,Employment & Social Protection,,Women’s Empowerment,,South-East Asia,,Europe & Central Asia,,Africa,,"Media, Entertainment & Information",,Telecom,,Consumer,
Women’s Empowerment,Business,People's Republic of China,Women’s Empowerment,,Innovation,,Institutional Governance Systems,,Emerging Technologies,,Next Generation,,China,,Europe & Central Asia,,Latin America,,"Media, Entertainment & Information",,Consumer,,Telecom,
Terrorism,Government,France,Geopolitical Risk,International terrorism is globalized and deeply impacts on geopolitical risks,Conflict Prevention,the fight against terrorism requires a proactive strategy taking into account conflict prevention,Fragile States,Terrorism organizations take advantage of  fragile states to reinforce their operational capacities ( ex: Sahel zone),International Legal System,The fight against terrorism must be conducted within the framework of the law. International legal system should be strengthened,Anti-Corruption,Connections have been drawn between corruption and terrorist activity,Africa,Africa is currently destabilized by international terrorism and become a new breeding-ground for Al Qaida and its associates,Latin America,Organized crime activity is growing and connected to Terrorism. Such a situation could endanger the stability of some states,Europe & Central Asia,those areas are currently concerned by terrorist activity connected to Al Qaida and Islamist organizations sharing its strategy,"Aviation, Travel & Tourism","Aviation, Travel and Tourism were and still are a target for Al Qaida and its associates",Mining & Metals,"Oil and Gaz Industry as well as other strategic mining ( uranium in Niger) are considered as  crucial  target  for Al Qaida ( ex  Iraq, Afghanistan, Niger)",Banking & Capital Markets,Banking and capital Markets are vey sensitive to all security issue. Al Qaida is very aware of this weakness and is intending to make the financial market more volatile.
Population Growth,Business,Switzerland,Geopolitical Risk,,Migration,,Food Security,,Human Rights,,Institutional Governance Systems,,Africa,,Middle East & North Africa,,China,,Health,,Renewable Energy,,Banking & Capital Markets,
Benchmarking Progress,International Organization,Switzerland,Competitiveness,,Informed Societies,,Values,,,,,,Africa,,North America,,Europe & Central Asia,,Health,,Consumer,,Insurance & Asset Management,
Public & Institutional Investors,Business,United States of America,Institutional Governance Systems,,Systemic Financial Risk,,Future of Government,,Trade,,Population Growth,,North America,,China,,India,,Insurance & Asset Management,,Banking & Capital Markets,,Private Fund Managers,
Weapons of Mass Destruction,Academia,United States of America,Terrorism,,Conflict Prevention,,Energy Security,,Emerging Technologies,,Climate Change,,Middle East & North Africa,,Korea,,South-East Asia,,Public & Institutional Investors,,Renewable Energy,,Mining & Metals,
South-East Asia,Business,Japan,Education,,Trade,,Competitiveness,,Poverty & Economic Development,,Role of Business,,China,,Japan,,North America,,Consumer,,Banking & Capital Markets,,Public & Institutional Investors,
North America,NGO,United States of America,Competitiveness,,Innovation,,Employment & Social Protection,,Fiscal Crises,,Trade,,China,,India,,Europe & Central Asia,,Banking & Capital Markets,,Renewable Energy,,Real Estate,Housing finance redesign is key issue in many developed countries after crisis
Emerging Technologies,Business,United Kingdom of Great Britain and Northern Ireland,Climate Change,"Emerging technologies are already having a major impact, from sustainable production through to thin film solar cells, and offer a way to tap human ingenuity to engineer our way out of global problems.",Geopolitical Risk,"A combination of rising population and declining resources is a dangerous mixture, and an area where we have to put in place solutions to problems BEFORE they happen",Emerging Multinationals,"Technological advances have created multinationals, from Ford to Google, and with nanotech, industrial biotech, synthetic biology etc new emerging multinationals are probably already gestating. Balancing the risks and benefits of new technologies becomes ever more important as technologies have more power to alter the way we live and the environment we live in",Water Security,,Chronic Diseases & Well-being,,China,China is spending huge sums on R&D and has the potential to become a global leader in a number of emerging technology areas.,Africa,"From water solutions to photovoltaics, Africa has the most to gain from the adoption of new technologies which can leapfrog the limitations of existing infrastructure",North America,,Renewable Energy,,Health,,Health,
Automotive,International Organization,France,Climate Change,Cars will have a substantial effect on CO2 one way or another,Energy Security,Same - cars will heavily impact oil security,Emerging Technologies,"The emerging technologies will determine the impact automotive has on climate and energy security, and on various economic factors.",Trade,"international trade will be a significant issue for automotice in terms, for example, of technology transfer",Role of Business,"Key question is the role of automotive businesses in solving societal issues like CC and oil dependence, and more specifically for things like jump-starting the market for electric vehicles.",China,Biggest growth country for both car production and consumption,India,Also very rapidly growing market - key question is how to modernize and make car industry in India sustainable.,Europe & Central Asia,major region for technology innovation,Consumer,interaction between consumers and new technology vehicles critical to achieving sustainability,Banking & Capital Markets,"Banking and cap makerts will be important sources of capital for automotive sector in its transformation to new propulsion systems, etc.","Aviation, Travel & Tourism",Travel will have an impact on automotive sector...
Health,Academia,United Kingdom of Great Britain and Northern Ireland,Chronic Diseases & Well-being,,Intellectual Property System,,Ageing,,Innovation,,Population Growth,,Africa,,China,,India,,"Media, Entertainment & Information",,Consumer,,Telecom,
Catastrophic Risks,Business,United Kingdom of Great Britain and Northern Ireland,Climate Change,"The frequency, severity and nature of catastrophes will changes over the coming decades because of climate risk",Population Growth,"Population growth is driving everything - in our case it causes people to live in more catastrophe exposed areas - and make existing areas more catstrophe prone (e.g. more concrete = more flooding).  IT also leads to poverty and hence political unrest, terrorism etc",Urbanization,The move to cities leads to a greater concentration of exposure and then more extreme losses when they occur.,Ecosystems & Biodiversity,Ecosystem recovery can help to reduce catastrophes (e.g. mangrove swamps reduce storm surge) - maintaining rainforests may avoid changes to global rainfall etc.,Humanitarian Assistance,Catastrophes are a major cause for the need of humanitarian assistance.,Africa,Frankly all regions are relevant - however there may be an opportunity to discuss micro insurance and other risk transfer solutions here.,Latin America,As 1,China,Interesting to see how a different policitcal ideology deals with catastophes - more or less efficient?  Or just different?,Insurance & Asset Management,"Insurance and Re Insurance is already one of a suite of ""solutions"" to catastrophes in the developed world.","Media, Entertainment & Information",If risk transfer is to spread around the world (micro insurance etc) then trust has to be created - it may be that local media can help,Real Estate,Avoiding building in cat exposed areas has to be a priority. (Or at least build differently)
Design,Business,United States of America,Education,,Social Innovation,,Competitiveness,,Ageing,,Climate Change,,North America,,China,,Africa,,Health,,Consumer,,"Media, Entertainment & Information",
Population Growth,International Organization,United States of America,Climate Change,Linkages between population dynamics and climate change both in mitigation and adaptation,Ageing,"Ageing is the result of demographic transition. It has important implication for health, education, social secutity, housing, etc.",Poverty & Economic Development,Investing in reproductuive health has an effect both in reducing population growth as well as contributing to poverty reduction,Migration,"Migration is not just a determinant of population dynamics but it is also a social, economic and political issue",Humanitarian Assistance,"There is a link between population dynamics and risks to hazards, i.e. those derived from climate change. Humanitarian assistance within a development framework need the incorporation of p[population dynamics.",Africa,Most countries of this region will experience high population growth.,South-East Asia,Population and climate change will beciome a challenge in the context of rapid urbanization,Latin America,Migration is defining the development process yn  many countries of this region.,Health,,Renewable Energy,,Public & Institutional Investors,
Internet Security,NGO,United Kingdom of Great Britain and Northern Ireland,Informed Societies,,Emerging Technologies,,Poverty & Economic Development,,Future of Government,,Social Innovation,,Africa,,China,,North America,,,,,,,
"Aviation, Travel & Tourism",Business,France,Poverty & Economic Development,"Aviation, Travel & Tourism is a strong lever to allow starting economic development in developing countries.",Climate Change,AT&T support to sustainable economic growth however implies that it shall find a way to manage its impact on CC,Innovation,"Which will require significant Innovation (including but not limited to the field of low CO2, renewable energies)",,,,,China,as one of the regions with highest growth,Europe & Central Asia,as one (Europe) of the regions expressing clear willingness to handle the CC issue...,,,Renewable Energy,and low CO2 footprint,Automotive,with some similarities in the stakes,,
Design,Academia,Canada,Innovation,Design and innovation are directly linked.  It is hard to have innovation without design and vice-versa,Competitiveness,Because the subtitle of my last book is Why Design Thinking is the Next Competitive Advantage,Future of Government,Government needs complete redesign.,Role of Business,The role of business in society needs a redesign,Social Innovation,Design can be helpful to spur more and better social innovation.,Africa,African development hasn't worked. It is time to redesign.,China,Shanghai is posed to become the design capital of the world.,India,Indian business and education is discovering the power of design.,Health,Health will only work if we take a fundamental redesign approach to it.,Banking & Capital Markets,Capital markets are broken and need redesign,Automotive,Now is the time to reinvent the automotive industry.
Informed Societies,Business,United States of America,Education,"Education is critical to having a literate, informed society.",Women’s Empowerment,Empowering 50% of the global population means a more informed society.,Poverty & Economic Development,"Informed societies have less poverty. Likewise, a reduction in poverty means a more informed society, as leisure time increases.",Conflict Prevention,"War and conflict polarize societies, leading to a less informed society. The converse applies.",Emerging Technologies,"New communication technologies, as they become more pervasive and inexpensive, make it easier for information to flow, and for a more informed society to flourish.",Africa,"The part of the world with the greatest disparities of wealth and poverty, and the most oppressed people - thus the least informed societies.",China,Huge disruptions in rural vs. city life and government control of the media are huge challenges in building informed societies.,North America,"Much of the technology development, as well as NGO funding comes from the developd world, so getting people to understand the need and how to build informed societies is critically important.","Media, Entertainment & Information",Media is the most pervasive mechanism in how societies are informed.,Telecom,Making sure that people have access to communication technologies means that they will be able to inform themselves.,Consumer,An informed consumer can make a huge difference by shaping trends in the products and services they buy.
Design,Business,United States of America,Innovation,Design and innovation are tightly linked and would benefit from common approaches and frameworks,Social Innovation,Design methodologies have much to offer the social innovation sector and designers are passionate about working on these problems,Urbanization,,Chronic Diseases & Well-being,,Ageing,,China,,India,,Latin America,,Health,,"Media, Entertainment & Information",,Renewable Energy,
Human Rights,NGO,Philippines,Fragile States,,Conflict Prevention,,Humanitarian Assistance,,Terrorism,,Migration,,Africa,,South-East Asia,,China,,Health,,Mining & Metals,,Renewable Energy,
Water Security,Other,Canada,Food Security,Agriculture is the 70-75% user of water.  There are no solutions to Water Security without the acceptance and participation of the Food Producing sector.,Energy Security,"energy is the major contender for water, with Agriculture. Producing energy needs water; producing water needs energy.  As water crises deepen, how do we change practice?",Design,How should complex water security messages be constructed and communicated?,Urbanization,"Reduce, re-use, recycle is the lietmotiv of urban water security success in the years ahead.  Designs and prototypes exist.  How do we get there?",Trade,Is it even possible to imagine that the water value of goods might be reflected in the Global trading system?,India,"A process to discuss the Energy/Food/Water Nexus within India has begun.  It will need a great deal of nourishing. Groups such as the Confederation of Indian Industries will have to listen to and sit with the agriculturalists and others - Industry, Construction - to begin to inch toward sustainable solutions - quite possibly using the McKinsey tool as an analytical starting point.",China,"Does China see a role for WEF in helping China to work through water issues?  Absolutely not clear.  Solutions will require greater interMinisterial discussion and then talks involving the Party, and  industries which will have to listen to and sit with the agriculturalists and others - to begin to inch toward sustainable solutions - quite possibly using the McKinsey tool as an analytical starting point. Does this fit China?  Not clear",Middle East & North Africa,this is where the situation is most difficult.  there should be more the Water Security Council could do with this regional council.,Consumer,"does this mean Agriculture? and the Food and Beverage  If so, most important",Mining & Metals,"new mining installations depend on water availability, plus mining companies set up their own municipal water systems.  Is there common cause?",Renewable Energy,The key to sustainable desalination and a host of other water security issues.  Do we need to discuss?
Water Security,Other,Canada,Food Security,Agriculture is the largest user of water - 70-80% globally. We cannot begin to approach the issue of water without the agricultural sector's full involvement,Energy Security,"Energy cannot be produced without water;  the provision, transport and treatment of water takes more and more energy.  Energy is a direct competitor with agriculture for water.  the processes need to be thought through and optimized",Innovation,the reduction and re-use of water are key to secure water futures.  This implies innovation and the adoption of new technologies and processes,Trade,could the trading system operate so as to reflect the value of water in the traded goods?  an open question.,Urbanization,"the future of water in cities is a future of reduce, re=use, recycle and redesign.  This will happen.  Does the Urbanization Council want to talk about these issues?",India,"Talks have begun on how to move the Energy-Food-Water Nexus into real dialogue at the National level (possibly using the McKinsey tool).  India is a prime candidate for this exploration.  Optimally, the Confederation of Indian Industries, as well as major national and international agricultural groups and others- eg construction, industry etc  will become involved in this crucial dialogue",China,"The Chinese water situation poses exceptional difficulty to growth and development.  Does China wish to use WEF groups and sessions to explore this - that is the question?    the Energy-Food-Water Nexus has been explored at  the National level with the McKinsey cost curve tool.  Whether there is a role for WEF structures to pursue this is still open.  Optimally, agricultural groups and others- eg construction, industry etc  will become involved in this crucial dialogue but neither these groups nor their sponsoring ministries are involved in cross sectoral dialogue on future water use - so, role for WEF? -",Middle East & North Africa,Water Security Council needs a closer dialogue here.  Water is crucial in this area - cross sectoral dialogue is essential.  We need to explore  the extent to which we can be helpful.,,,,,,
